ID,말씀ID,용어,정의
A2V001,A2-002,후대,우리 집안에 속한 사람들
A2V002,A2-003,순종하다,말씀을 듣고 따르다
A2V003,A2-004,노엽게 하다,과하게 밀어붙이다
A2V004,A2-005,떠나다,멀어지다
A2V005,A2-005,네 머리의 금 사슬이니라,명예를 나타내는 은유적 표현
A2V006,A2-007,다툼,이기적인 욕심
A2V007,A2-007,허영,다른 사람에게 과시하고자 하는 마음
A2V008,A2-007,남을 낫게 여기고,겸손한 마음을 가지고
A2V009,A2-009,하나님의 사람,"그리스도인, 크리스천"
A2V010,A2-011,간구,내가 원하는 것이나 다른 사람을 위해서 하나님께 기도 드리는 것
A2V011,A2-011,깨어 있다,조심하고 방심하지 않다
A2V012,A2-012,피차,서로
A2V013,A2-012,권면하다,"격려하다, 돕다"
A2V014,A2-013,격려하다,용기를 북돋우다
A2V015,A2-013,폐하다,포기하다
A2V016,A2-013,권하다,격려하다
A2V017,A2-014,연소함,나이가 어림
A2V018,A2-014,업신여기다,무시하다
A2V019,A2-014,행실,행동
A2V020,A2-014,믿는자,예수님을 구세주로 영접한 사람
A2V021,A2-015,정하다,결심하다
A2V022,A2-015,인색함으로나,"망설이는, 마지못해 하는"
A2V023,A2-015,억지로,해야 한다는 의무감 때문에
A2V024,A2-016,언약,"계약, 약속"
A2V025,A2-017,제물,조건을 만족시키는 희생제물
A2V026,A2-007,겸손한 마음,나 자신보다는 다른 사람을 먼저 생각하는 마음
A2V027,A2-007,여기다,생각하다
A2V028,A2-021,성내기도,화내기도
A2V029,A2-021,더디 하다,늦추다
A2V030,A2-023,믿음의 가정들,예수님을 구주로 믿는 다른 그리스도인들
A2V031,A2-024,사신,특별대표
A2V032,A2-012,권면,"간청, 부탁"
A2V033,A2-017,화목,예수님을 구주로 믿어 예수님의 친구가 되는 것
A2V034,A2-025,사람을 낚는 어부,예수님에 대해 사람들에게 전하는 사람
A2V035,A2-026,도고,다른 사람이 필요한 것을 위해 기도하는 것
A2V036,A2-026,단정,존경과 성실
A2V037,A2-027,내가 북극 앉으리라,나는 하나님이 될 것이다
A2V038,A2-028,불과 유황 못,영원히 형벌을 받아야 하는 장소
A2V039,A2-030,말씀의 소리를 듣는,말씀에 순종하다
A2V040,A2-029,천군,"종, 신하"
A2V041,A2-032,천사장,천사들의 대장
A2V042,A2-031,강림하다,내려오다
A2V043,A2-033,환난의 때,큰 문제와 어려움의 시간
A2V044,A2-034,첫째 부활,영원한 삶
A2V045,A2-034,둘째 사망,영원한 죽음
A2V046,A2-034,제사장,헌신된 종
A2V047,A2-034,왕 노릇 하다,통치하다
