ID,질문번호,질문,답번호,답,책,장절,말씀,핵심단어
A1-001,1,하나님께서 우리에게 성경을 주신 이유는 무엇일까요?,1,우리가 하나님이 어떤 분인지 알게 하시려고 하나님께서 우리에게 성경을 주셨습니다.,시편,100:3,여호와가 우리 하나님이신 줄 너희는 알지어다 그는 우리를 지으신 이요 우리는 그의 것이니 그의 백성이요 그의 기르시는 양이로다,"여호와,백성"
A1-002,1,하나님께서 우리에게 성경을 주신 이유는 무엇일까요?,2,하나님만이 유일하고 진리이신 하나님이라는 사실을 우리가 알 수 있도록 하나님께서 우리에게 성경을 주셨습니다.,예레미야,10:10a,오직 여호와는 참 하나님이시요 살아 계신 하나님이시오,"여호와,하나님"
A1-003,1,하나님께서 우리에게 성경을 주신 이유는 무엇일까요?,3,하나님의 말씀이 언제나 진리라는 사실을 우리가 알 수 있도록 하나님께서 우리에게 성경을 주셨습니다.,요한복음,17:17b,아버지의 말씀은 진리니이다,"말씀,진리"
A1-004,1,하나님께서 우리에게 성경을 주신 이유는 무엇일까요?,3,하나님의 말씀이 언제나 진리라는 사실을 우리가 알 수 있도록 하나님께서 우리에게 성경을 주셨습니다.,시편,119:42b,내가 주의 말씀을 의지함이니이다,말씀
A1-005,1,하나님께서 우리에게 성경을 주신 이유는 무엇일까요?,4,과거에 존재했던 사람들로부터 배울 것이 있게 하시려고 하나님께서는 우리에게 성경을 주셨습니다.,로마서,15:4a,무엇이든지 전에 기록된 바는 우리의 교훈을 위하여 기록된 것이니,교훈
A1-006,1,하나님께서 우리에게 성경을 주신 이유는 무엇일까요?,5,우리가 죄인임을 깨닫게 하시려고 하나님께서 우리에게 성경을 주셨습니다.,전도서,7:20,선을 행하고 전혀 죄를 범하지 아니하는 의인은 세상에 없기 때문이로다,"의인,죄"
A1-007,1,하나님께서 우리에게 성경을 주신 이유는 무엇일까요?,6,"예수님은 하나님이시고, 예수님은 하나님의 아들이심을 우리가 알게 하시려고 하나님께서 우리에게 성경을 주셨습니다.",요한복음,1:1,태초에 말씀이 계시니라 이 말씀이 하나님과 함께 계셨으니 이 말씀은 곧 하나님이시니라,"태초,말씀"
A1-008,1,하나님께서 우리에게 성경을 주신 이유는 무엇일까요?,7,우리에게 구세주가 필요하다는 것을 보여주시려고 하나님께서 우리에게 성경을 주셨습니다.,사도행전,4:12,다른 이로써는 구원을 받을 수 없나니 천하 사람 중에 구원을 받을 만한 다른 이름을 우리에게 주신 일이 없음이라 하였더라,"구원,이름"
A1-009,1,하나님께서 우리에게 성경을 주신 이유는 무엇일까요?,8,우리가 어떻게 살아야 하는지를 알게 하시려고 하나님께서 우리에게 성경을 주셨습니다.,시편,86:11,여호와여 주의 도를 내게 가르치소서 내가 주의 진리에 행하오리니 일심으로 주의 이름을 경외하게 하소서,"진리,일심,경외"
A1-010,2,하나님은 누구신가요?,1,하나님은 창조주이십니다.,창세기,1:1,태초에 하나님이 천지를 창조하시니라,"태초,창조"
A1-011,2,하나님은 누구신가요?,2,하나님은 영원하십니다. 하나님은 처음이시고 마지막이십니다.,요한계시록,22:13,나는 알파와 오메가요 처음과 마지막이요 시작과 마침이라,"알파,오메가"
A1-012,2,하나님은 누구신가요?,3,하나님은 공의로운 분이십니다.,이사야,45:21b-22,나 외에 다른 신이 없나니 나는 공의를 행하며 구원을 베푸는 하나님이라 나 외에 다른 이가 없느니라 땅의 모든 끝이여 내게로 돌이켜 구원을 받으라 나는 하나님이라 다른 이가 없느니라,"공의,구원"
A1-013,2,하나님은 누구신가요?,4,하나님은 거룩하십니다. (죄가 없으십니다),시편,99:3,주의 크고 두려운 이름을 찬송할지니 그는 거룩하심이로다,"이름,거룩"
A1-014,2,하나님은 누구신가요?,5,하나님은 어디에나 계십니다.,시편,139:2,주께서 내가 앉고 일어섬을 아시고 멀리서도 나의 생각을 밝히 아시오며,생각
A1-015,2,하나님은 누구신가요?,6,하나님은 전능하신 분입니다.,시편,147:5,우리 주는 위대하시며 능력이 많으시며 그의 지혜가 무궁하시도다,"능력,지혜"
A1-016,2,하나님은 누구신가요?,7,하나님은 삼위일체이십니다.,고린도후서,13:13,주 예수 그리스도의 은혜와 하나님의 사랑과 성령의 교통하심이 너희 무리와 함께 있을지어다,"은혜,사랑,교통"
A1-017,2,하나님은 누구신가요?,8,하나님은 사랑이십니다.,요한복음,3:16,하나님이 세상을 이처럼 사랑하사 독생자를 주셨으니 이는 그를 믿는 자마다 멸망하지 않고 영생을 얻게 하려 하심이라,"독생자,멸망,영생"
A1-018,3,주 예수님은 누구신가요?,1,주 예수님은 하나님이십니다.,요한복음,10:30,나와 아버지는 하나이니라 하신대,"아버지,하나"
A1-019,3,주 예수님은 누구신가요?,2,주 예수님은 하나님의 아들이십니다.,마태복음,16:16,시몬 베드로가 대답하여 이르되 주는 그리스도시요 살아 계신 하나님의 아들이시니이다,"그리스도,아들"
A1-020,3,주 예수님은 누구신가요?,3,주 예수님은 은혜와 진리이십니다.,요한복음,14:6,예수께서 이르시되 내가 곧 길이요 진리요 생명이니 나로 말미암지 않고는 아버지께로 올 자가 없느니라,"길,진리,생명"
A1-021,3,주 예수님은 누구신가요?,4,주 예수님은 하나님이 우리를 얼마나 사랑하시는지를 보여주십니다.,누가복음,19:10,인자가 온 것은 잃어버린 자를 찾아 구원하려 함이니라,"인자,구원"
A1-022,3,주 예수님은 누구신가요?,5,주 예수님은 아기로 이 땅에 오셨습니다.,누가복음,2:11,오늘 다윗의 동네에 너희를 위하여 구주가 나셨으니 곧 그리스도 주시니라,"구주,그리스도"
A1-023,3,주 예수님은 누구신가요?,6,주 예수님은 자신이 하나님의 아들이신 것을 보여주셨습니다.,요한복음,21:25,예수께서 행하신 일이 이 외에도 많으니 만일 낱낱이 기록된다면 이 세상이라도 이 기록된 책을 두기에 부족할 줄 아노라,"행하신,책"
